STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
723805,23179, 20140401,   68.7,23,   21.5,23, 1007.4,23,  976.6,23,  10.0,23,   9.7,23,  18.1,  25.1,   82.9 ,  53.1 , 0.00G,999.9, 000000,
723810,23114, 20140401,   49.4,24,   33.3,24, 1011.8,18,  930.9,16,  39.1,24,  13.8,24,  22.0,  32.1,   67.6 ,  37.2 , 0.07G,999.9, 010000,
723815,23161, 20140401,   55.0,24,   30.0,24, 1010.1,22,  942.7,24,  10.0,24,  18.7,24,  28.9,  38.1,   73.9 ,  39.0 , 0.03G,999.9, 010000,
723816,03159, 20140401,   47.0,24,   34.7,24, 1013.5,22,  930.5,24,   9.9,24,  15.1,24,  22.0,  32.1,   64.0 ,  39.0 , 0.06G,999.9, 010000,
723820,23182, 20140401,   48.2,24,   36.1,24, 1012.7,20,  922.2,24,   9.6,24,  14.3,24,  31.1,  42.9,   66.0 ,  39.0 , 0.09G,999.9, 010000,
723825,23131, 20140401,   49.5,24,   28.6,24, 9999.9, 0,  911.3,16,  10.0,24,  12.3,24,  22.9,  25.1,   62.6*,  39.2*,99.99 ,999.9, 010000,
723830,23187, 20140401,   39.5,24,   31.8,24, 1011.5,14,  858.0,24,   7.7,24,  11.3,24,  22.0,  31.1,   57.0 ,  34.0 , 0.05G,999.9, 110000,
723840,23155, 20140401,   55.1,24,   40.0,24, 1014.0,24,  996.4,24,   9.9,24,   6.5,24,  17.1,  25.1,   71.1 ,  46.9 , 0.08G,999.9, 010000,
723890,93193, 20140401,   52.2,24,   41.2,24, 1014.3,24, 1002.5,24,   9.7,24,   5.6,24,  15.9,  22.9,   68.0 ,  43.0 , 0.18G,999.9, 010000,
723894,03181, 20140401,   26.1,24,   15.0,24, 9999.9, 0,  774.4,16,   7.0,24,   7.5,24,  18.1,  27.0,   37.4*,  10.4*,99.99 ,999.9, 001000,
723895,23149, 20140401,   52.6,24,   42.6,24, 9999.9, 0,  999.2,16,   8.6,24,   5.0,24,  21.0,  25.1,   66.2 ,  44.6 , 0.22G,999.9, 000000,
723896,93144, 20140401,   51.8,24,   40.3,24, 9999.9, 0, 1004.2,16,   9.2,24,   4.6,24,  15.0,  18.1,   64.4 ,  39.2 , 0.00I,999.9, 000000,
723898,53119, 20140401,   50.6,24,   42.5,24, 1014.5,17, 1005.8,24,   6.4,24,   5.4,23,  15.9, 999.9,   66.9 ,  37.9 , 0.09G,999.9, 110000,
723910,93111, 20140401,   59.1,24,   47.1,24, 1015.3,22, 1014.8,17,   7.0,17,  11.7,24,  21.0,  27.0,   64.9 ,  46.0 , 0.00H,999.9, 010000,
723925,23190, 20140401,   54.8,24,   45.1,24, 1015.1,22, 1014.4,24,   9.5,24,   6.7,24,  17.1,  24.1,   64.0 ,  43.0 , 0.26G,999.9, 010000,
723927,93110, 20140401,   55.8,24,   46.2,24, 1015.1,23, 1012.7,24,   9.8,24,  11.1,24,  22.0,  26.0,   62.1 ,  45.0 , 0.15G,999.9, 010000,
723930,93214, 20140401,   52.0,24,   45.0,24, 1015.0,22, 1002.7,17,   9.6,24,   6.7,24,  18.1,  24.1,   62.1 ,  42.1 , 0.31G,999.9, 110000,
723940,23273, 20140401,   54.2,24,   44.5,24, 1015.7,23, 1006.7,24,   9.3,24,   5.7,24,  15.9,  21.0,   64.9 ,  44.1 , 0.27G,999.9, 010000,
723965,93209, 20140401,   47.7,24,   42.5,24, 1014.3,17,  984.9,24,   7.9,24,   4.7,24,  13.0,  18.1,   61.0 ,  39.0 , 0.27G,999.9, 110000,
724800,23157, 20140401,   42.7,24,   22.7,24, 1006.9,23,  866.1,24,   9.7,24,   6.9,24,  19.0,  25.1,   62.1 ,  26.1 , 0.06G,999.9, 011000,
724810,23203, 20140401,   46.9,24,   43.9,24, 9999.9, 0, 9999.9, 0,   7.0,24,   5.0,24,  12.0,  18.1,   60.8*,  37.4*,99.99 ,999.9, 010000,
724815,23257, 20140401,   48.0,24,   41.5,24, 1014.0,24, 1008.2,24,   9.6,24,   5.4,24,  14.0,  22.0,   66.0 ,  37.9 , 0.09G,999.9, 010000,
724828,93241, 20140401,   46.8,24,   43.8,24, 1012.5,17, 1008.5,24,   8.9,24,   5.6,24,  14.0,  24.1,   55.9 ,  43.0 , 0.00G,999.9, 010000,
724830,23232, 20140401,   47.0,24,   44.3,24, 1012.8,21, 1012.0,24,   8.0,24,   6.3,24,  19.0,  28.0,   57.9 ,  43.0 , 0.68G,999.9, 010000,
724833,23206, 20140401,   46.4,21,   44.6,21, 9999.9, 0, 1010.3,15,   7.3,21,   8.1,21,  33.0,  44.7,   55.4*,  41.0*,99.99 ,999.9, 010000,
